dvcat,weight,dead,airbag,seatbelt,frontal,sex,ageOFocc,yearacc,yearVeh,abcat,occRole,deploy,injSeverity,caseid
24-Oct,72.388,alive,airbag,belted,1,m,16,1997,1996,nodeploy,driver,0,0,11:33:01
24-Oct,72.388,alive,airbag,belted,1,m,16,1997,1996,nodeploy,pass,0,0,11:33:01
24-Oct,1054.928,alive,none,belted,1,m,16,1997,1989,unavail,pass,0,0,11:39:01
25-39,601.336,alive,airbag,belted,1,m,16,1997,1990,deploy,driver,1,1,11:49:02
24-Oct,1648.787,alive,none,belted,0,f,16,1997,1989,unavail,driver,0,0,11:51:01
25-39,49.775,alive,airbag,belted,0,f,16,1997,1996,nodeploy,driver,0,0,0.502789352
24-Oct,241.148,alive,none,belted,1,m,16,1997,1986,unavail,driver,0,0,0.511122685
24-Oct,378.095,alive,airbag,belted,1,m,16,1997,1993,deploy,driver,1,0,0.531956019
25-39,417.842,alive,airbag,belted,1,m,16,1997,1992,deploy,driver,1,0,0.558344907
24-Oct,865.547,alive,none,belted,1,f,16,1997,1992,unavail,driver,0,1,0.58056713
24-Oct,55.613,alive,none,belted,1,m,16,1997,1990,unavail,driver,0,0,12:21:01
24-Oct,253.806,alive,airbag,belted,0,m,16,1997,1996,nodeploy,driver,0,1,12:42:01
24-Oct,253.806,alive,airbag,belted,0,m,16,1997,1996,nodeploy,pass,0,2,12:42:01
24-Oct,428.247,alive,none,belted,1,m,16,1997,1990,unavail,driver,0,1,0.543773148
24-Oct,1168.518,alive,airbag,belted,1,f,16,1997,1991,deploy,driver,1,0,0.576400463
24-Oct,1168.518,alive,none,belted,1,f,16,1997,1991,unavail,pass,0,0,0.576400463
25-39,34.053,alive,airbag,belted,0,f,16,1997,1994,deploy,driver,1,3,0.584733796
24-Oct,729.49,alive,none,belted,1,f,16,1997,1988,unavail,driver,0,1,0.606967593
40-54,30.29,alive,none,belted,1,m,16,1997,1982,unavail,driver,0,1,0.634050926
25-39,30.29,alive,none,none,1,m,16,1997,1991,unavail,pass,0,3,0.645150463
1-9km/h,881.053,alive,airbag,belted,1,m,16,1997,1997,deploy,driver,1,0,0.655578704
25-39,340.849,alive,none,belted,0,m,16,1997,1989,unavail,driver,0,1,0.659039352
55+,95.497,alive,none,belted,0,m,16,1997,1987,unavail,driver,0,3,13:32:01
24-Oct,2171.513,alive,airbag,none,0,m,16,1997,1991,nodeploy,driver,0,0,13:37:02
1-9km/h,366.762,alive,none,belted,0,m,16,1997,1986,unavail,driver,0,0,13:54:01
40-54,81.996,alive,none,none,1,m,16,1997,1993,unavail,pass,0,1,13:57:01
24-Oct,511.4,alive,none,none,1,f,16,1997,1986,unavail,pass,0,1,0.591678241
24-Oct,805.405,alive,airbag,belted,0,f,16,1997,1992,nodeploy,pass,0,1,0.598634259
24-Oct,81.996,alive,none,belted,0,m,16,1997,1990,unavail,driver,0,3,0.616678241
25-39,331.262,alive,none,belted,1,f,16,1997,1984,unavail,driver,0,1,0.646539352
24-Oct,489.014,alive,airbag,belted,1,m,16,1997,1997,nodeploy,pass,0,0,0.667372685
1-9km/h,1033.131,alive,none,belted,0,m,16,1997,1984,unavail,driver,0,0,0.668761574
1-9km/h,1033.131,alive,none,belted,0,f,16,1997,1984,unavail,pass,0,0,0.668761574
40-54,81.996,alive,none,none,1,m,16,1997,1986,unavail,driver,0,3,0.669467593
24-Oct,658.621,alive,none,none,1,f,16,1997,1995,unavail,pass,0,0,0.681956019
40-54,87.135,alive,airbag,none,0,m,16,1997,1996,deploy,driver,1,3,0.686122685
40-54,243.852,alive,airbag,belted,0,f,16,1997,1992,deploy,driver,1,2,41:43:01
40-54,243.852,alive,none,belted,0,f,16,1997,1992,unavail,pass,0,3,41:43:01
24-Oct,19.923,alive,none,none,1,m,16,1997,1988,unavail,driver,0,0,41:148:2
25-39,24.818,alive,none,none,1,f,16,1997,1994,unavail,pass,0,3,41:164:1
24-Oct,51.137,alive,airbag,belted,1,m,16,1997,1989,nodeploy,driver,0,0,43:11:01
25-39,158.865,alive,none,belted,0,f,16,1997,1984,unavail,driver,0,1,43:23:01
25-39,392.234,alive,airbag,belted,0,f,16,1997,1995,nodeploy,driver,0,2,43:35:01
40-54,192.807,alive,airbag,belted,0,f,16,1997,1995,deploy,driver,1,2,43:50:01
40-54,192.807,alive,airbag,belted,0,m,16,1997,1995,deploy,pass,1,1,43:50:01
1-9km/h,167.155,alive,airbag,belted,0,f,16,1997,1994,deploy,pass,1,2,43:57:01
1-9km/h,2287.349,alive,none,belted,1,f,16,1997,1989,unavail,driver,0,0,43:61:2
1-9km/h,2287.349,alive,none,none,1,m,16,1997,1989,unavail,pass,0,0,43:61:2
25-39,51.137,alive,airbag,belted,0,m,16,1997,1990,nodeploy,driver,0,3,43:86:1
24-Oct,525.11,alive,none,belted,0,f,16,1997,1988,unavail,driver,0,2,43:98:1
25-39,38.595,alive,none,belted,1,m,16,1997,1992,unavail,driver,0,0,43:100:2
24-Oct,166.836,alive,none,belted,0,m,16,1997,1990,unavail,driver,0,3,43:163:1
24-Oct,166.836,alive,none,belted,0,m,16,1997,1990,unavail,pass,0,2,43:163:1
1-9km/h,2389.026,alive,airbag,none,1,f,16,1997,1996,deploy,pass,1,1,43:191:2
25-39,301.71,alive,none,belted,1,m,16,1997,1988,unavail,driver,0,2,43:250:2
25-39,301.71,alive,none,belted,1,m,16,1997,1988,unavail,pass,0,2,43:250:2
25-39,63.415,alive,none,belted,0,m,16,1997,1985,unavail,driver,0,3,45:19:01
40-54,76.653,alive,none,belted,0,f,16,1997,1990,unavail,driver,0,3,45:22:01
40-54,76.653,alive,none,belted,0,f,16,1997,1990,unavail,pass,0,2,45:22:01
24-Oct,889.602,alive,none,none,1,m,16,1997,1987,unavail,driver,0,2,45:69:1
25-39,90.873,alive,none,none,1,f,16,1997,1987,unavail,pass,0,2,45:74:1
25-39,45.255,dead,none,belted,0,m,16,1997,1994,unavail,driver,0,4,45:138:1
40-54,94.667,alive,none,belted,0,m,16,1997,1991,unavail,driver,0,3,45:168:1
40-54,94.667,alive,none,belted,0,m,16,1997,1991,unavail,pass,0,2,45:168:1
25-39,73.877,alive,none,none,1,m,16,1997,1981,unavail,driver,0,3,45:179:1
25-39,192.437,alive,none,none,1,m,16,1997,1991,unavail,driver,0,3,45:182:1
55+,59.623,dead,none,belted,1,f,16,1997,1990,unavail,driver,0,4,45:216:1
24-Oct,222.002,alive,airbag,belted,1,m,16,1997,1996,deploy,driver,1,3,48:24:01
24-Oct,222.002,alive,airbag,belted,1,m,16,1997,1996,deploy,pass,1,3,48:24:01
40-54,294.141,alive,none,belted,1,m,16,1997,1986,unavail,driver,0,0,48:59:02
24-Oct,222.002,alive,none,none,0,m,16,1997,1989,unavail,driver,0,3,48:101:1
24-Oct,964.986,alive,airbag,belted,1,f,16,1997,1996,deploy,driver,1,0,49:47:01
40-54,6.979,alive,airbag,belted,1,m,16,1997,1994,deploy,driver,1,3,49:198:2
25-39,153.46,alive,airbag,belted,0,m,16,1997,1996,nodeploy,driver,0,3,73:21:01
24-Oct,35.693,alive,none,none,1,f,16,1997,1986,unavail,pass,0,2,73:134:1
40-54,23.494,alive,airbag,none,1,f,16,1997,1993,deploy,driver,1,1,73:137:1
55+,15.918,alive,none,none,0,m,16,1997,1987,unavail,driver,0,3,74:06:01
40-54,15.897,alive,none,none,1,f,16,1997,1986,unavail,driver,0,3,74:58:01
25-39,15.897,alive,airbag,belted,1,f,16,1997,1995,deploy,pass,1,0,74:58:02
25-39,482.272,alive,airbag,belted,1,m,16,1997,1992,deploy,driver,1,1,74:65:1
25-39,482.272,alive,none,none,1,m,16,1997,1992,unavail,pass,0,1,74:65:1
25-39,12.899,alive,airbag,belted,0,f,16,1997,1996,nodeploy,pass,0,2,74:74:1
24-Oct,18.465,alive,none,none,1,m,16,1997,1984,unavail,driver,0,0,74:83:1
25-39,18.465,alive,airbag,belted,1,f,16,1997,1992,deploy,driver,1,3,74:93:1
25-39,18.465,alive,none,none,1,f,16,1997,1992,unavail,pass,0,3,74:93:1
24-Oct,14.037,alive,none,belted,1,m,16,1997,1978,unavail,driver,0,0,74:144:3
25-39,17.315,alive,none,belted,0,f,16,1997,1992,unavail,driver,0,0,74:146:1
40-54,23.731,alive,none,belted,1,m,16,1997,1993,unavail,driver,0,3,74:159:1
25-39,3639.196,alive,none,belted,1,m,16,1997,1989,unavail,pass,0,0,75:12:01
24-Oct,87.23,alive,none,belted,0,m,16,1997,1986,unavail,driver,0,3,75:86:2
24-Oct,87.23,alive,none,belted,0,f,16,1997,1986,unavail,pass,0,0,75:86:2
24-Oct,161.13,alive,none,belted,1,f,16,1997,1992,unavail,pass,0,0,75:125:1
24-Oct,44.669,alive,none,belted,1,m,16,1997,1988,unavail,driver,0,0,75:176:2
24-Oct,112.7,alive,none,belted,1,f,16,1997,1973,unavail,pass,0,3,78:08:01
24-Oct,1095.383,alive,none,belted,1,m,16,1997,1989,unavail,driver,0,0,79:32:01
24-Oct,4.026,alive,airbag,belted,1,m,16,1997,1997,nodeploy,pass,0,3,79:160:1
25-39,35.419,alive,none,none,1,f,16,1997,1984,unavail,pass,0,2,79:188:1
25-39,35.419,alive,none,none,0,m,16,1997,1982,unavail,pass,0,0,79:188:2
25-39,16.551,alive,airbag,belted,1,f,16,1997,1994,deploy,pass,1,2,81:13:02
25-39,268.897,alive,none,belted,1,m,16,1997,1985,unavail,driver,0,2,81:26:02
25-39,13.273,alive,airbag,none,1,m,16,1997,1991,deploy,driver,1,1,81:40:01
25-39,8.753,dead,none,none,0,f,16,1997,1991,unavail,pass,0,4,82:01:01
25-39,9.061,alive,none,belted,1,f,16,1997,1991,unavail,driver,0,3,82:58:02
24-Oct,106.871,alive,none,belted,1,f,16,1998,1991,unavail,pass,0,1,2:04:01
24-Oct,110.062,alive,none,belted,0,f,16,1998,1983,unavail,pass,0,0,2:06:02
24-Oct,93.03,alive,airbag,belted,0,m,16,1998,1996,nodeploy,pass,0,1,2:13:01
24-Oct,461.42,alive,none,belted,1,m,16,1998,1988,unavail,pass,0,0,2:19:01
25-39,27.562,alive,none,belted,1,f,16,1998,1988,unavail,pass,0,3,2:36:02
24-Oct,90.817,alive,none,none,0,m,16,1998,1994,unavail,pass,0,3,0.196550926
24-Oct,43.288,alive,airbag,none,0,f,16,1998,1995,deploy,pass,1,1,0.235439815
24-Oct,117.269,alive,none,belted,0,m,16,1998,1988,unavail,pass,0,1,0.24931713
24-Oct,264.857,alive,airbag,belted,0,f,16,1998,1997,nodeploy,pass,0,1,0.260428241
40-54,13.614,alive,none,belted,0,f,16,1998,1987,unavail,pass,0,1,0.263217593
25-39,494.856,alive,airbag,belted,0,m,16,1998,1995,nodeploy,driver,0,1,5:10:01
24-Oct,5246.019,alive,airbag,belted,1,m,16,1998,1995,deploy,pass,1,0,5:44:02
24-Oct,211.45,alive,none,belted,1,m,16,1998,1992,unavail,driver,0,1,0.293773148
24-Oct,211.45,alive,none,none,1,m,16,1998,1992,unavail,pass,0,1,0.293773148
24-Oct,3112.687,alive,airbag,belted,1,m,16,1998,1994,nodeploy,driver,0,0,0.312511574
40-54,9.269,dead,none,none,1,m,16,1998,1987,unavail,driver,0,4,6:14:01
55+,30.374,alive,none,belted,1,f,16,1998,1992,unavail,pass,0,3,8:03:01
24-Oct,954.322,alive,none,none,1,m,16,1998,1987,unavail,pass,0,0,8:14:01
25-39,196.464,alive,none,none,1,f,16,1998,1989,unavail,driver,0,3,8:16:01
25-39,29.436,alive,none,belted,1,m,16,1998,1986,unavail,driver,0,1,8:18:01
24-Oct,19.433,alive,none,belted,0,f,16,1998,1989,unavail,driver,0,3,8:56:01
24-Oct,19.433,alive,none,belted,0,m,16,1998,1989,unavail,pass,0,3,8:56:01
24-Oct,329.587,alive,none,none,0,m,16,1998,1987,unavail,pass,0,1,0.379189815
24-Oct,141.081,alive,none,belted,1,m,16,1998,1994,unavail,driver,0,3,0.459733796
40-54,66.292,alive,none,belted,1,m,16,1998,1984,unavail,driver,0,3,0.470856481
24-Oct,434.817,alive,none,belted,1,f,16,1998,1980,unavail,pass,0,3,9:07:01
25-39,94.925,alive,airbag,belted,1,f,16,1998,1995,deploy,driver,1,3,9:26:01
40-54,32.544,alive,none,belted,0,f,16,1998,1991,unavail,driver,0,0,9:51:01
25-39,26.271,alive,airbag,belted,0,f,16,1998,1996,nodeploy,driver,0,3,0.428483796
25-39,26.271,alive,airbag,belted,0,f,16,1998,1996,nodeploy,pass,0,3,0.428483796
25-39,49.69,alive,none,belted,0,m,16,1998,1986,unavail,driver,0,3,11:10:01
40-54,46.566,dead,none,none,1,f,16,1998,1985,unavail,driver,0,4,11:34:01
24-Oct,1039.761,alive,none,belted,0,m,16,1998,1988,unavail,driver,0,0,0.513900463
24-Oct,262.303,alive,none,belted,1,f,16,1998,1991,unavail,pass,0,0,0.522233796
24-Oct,53.665,alive,none,belted,1,m,16,1998,1989,unavail,pass,0,0,0.544456019
55+,49.483,dead,airbag,belted,1,m,16,1998,1998,deploy,driver,1,5,0.552094907
24-Oct,134.747,alive,airbag,belted,1,f,16,1998,1997,deploy,driver,1,1,0.58681713
24-Oct,49.483,alive,airbag,none,0,f,16,1998,1995,deploy,pass,1,3,0.603483796
25-39,528.332,alive,none,belted,1,f,16,1998,1985,unavail,driver,0,0,0.60556713
24-Oct,0,alive,none,belted,1,f,16,1998,1993,unavail,driver,0,1,1.015300926
24-Oct,1661.071,alive,airbag,belted,0,m,16,1998,1997,nodeploy,pass,0,0,12:21:01
40-54,31.155,alive,none,belted,1,f,16,1998,1994,unavail,driver,0,2,12:35:01
24-Oct,31.155,alive,none,none,0,m,16,1998,1993,unavail,driver,0,3,0.572928241
24-Oct,60.441,alive,airbag,belted,1,f,16,1998,1998,deploy,driver,1,0,0.626400463
24-Oct,60.441,alive,none,belted,1,m,16,1998,1991,unavail,driver,0,0,0.642372685
24-Oct,60.441,alive,none,belted,1,f,16,1998,1991,unavail,pass,0,3,0.642372685
24-Oct,60.441,alive,none,none,0,f,16,1998,1989,unavail,pass,0,2,0.642384259
24-Oct,0,alive,airbag,belted,1,f,16,1998,1998,deploy,driver,1,0,1.059050926
24-Oct,150.942,alive,airbag,belted,0,f,16,1998,1995,nodeploy,driver,0,3,13:03:02
1-9km/h,605.377,alive,none,belted,0,m,16,1998,1986,unavail,pass,0,0,13:35:01
24-Oct,105.253,alive,none,belted,1,f,16,1998,1990,unavail,driver,0,0,0.587523148
1-9km/h,535.586,alive,none,belted,1,m,16,1998,1991,unavail,driver,0,2,0.606956019
1-9km/h,535.586,alive,none,none,1,m,16,1998,1991,unavail,pass,0,2,0.606956019
24-Oct,175.873,alive,none,belted,1,f,16,1998,1990,unavail,driver,0,1,0.617372685
24-Oct,426.825,alive,none,belted,1,f,16,1998,1989,unavail,pass,0,0,0.650706019
25-39,81.517,dead,none,belted,0,f,16,1998,1994,unavail,pass,0,4,0.658344907
24-Oct,19.681,alive,none,none,1,f,16,1998,1987,unavail,pass,0,2,41:54:01
24-Oct,2322.194,alive,none,belted,1,m,16,1998,1990,unavail,driver,0,1,41:91:2
25-39,101.237,alive,airbag,belted,1,m,16,1998,1996,deploy,driver,1,1,43:08:01
25-39,47.503,alive,none,belted,0,m,16,1998,1988,unavail,driver,0,3,43:11:01
24-Oct,582.911,alive,airbag,belted,0,f,16,1998,1996,deploy,pass,1,0,43:13:01
24-Oct,2414.934,alive,airbag,belted,0,m,16,1998,1993,nodeploy,driver,0,0,43:16:01
24-Oct,481.899,alive,airbag,belted,0,f,16,1998,1993,deploy,driver,1,1,43:25:01
24-Oct,2027.4,alive,airbag,belted,1,f,16,1998,1995,deploy,driver,1,0,43:32:01
25-39,47.503,alive,airbag,belted,0,m,16,1998,1994,deploy,driver,1,1,43:35:01
24-Oct,383.061,alive,airbag,belted,0,f,16,1998,1995,nodeploy,pass,0,0,43:44:02
24-Oct,383.061,alive,airbag,belted,0,f,16,1998,1993,nodeploy,driver,0,0,43:45:01
24-Oct,1586.98,alive,airbag,belted,0,f,16,1998,1995,deploy,driver,1,2,43:46:01
25-39,342.04,alive,airbag,belted,0,f,16,1998,1998,nodeploy,driver,0,2,43:82:1
25-39,49.768,alive,none,belted,1,m,16,1998,1984,unavail,driver,0,1,43:114:2
25-39,49.768,alive,none,belted,1,m,16,1998,1984,unavail,pass,0,1,43:114:2
25-39,63.971,alive,airbag,belted,1,f,16,1998,1991,deploy,driver,1,2,43:131:1
25-39,380.78,alive,airbag,belted,0,f,16,1998,1991,deploy,driver,1,2,43:133:2
24-Oct,524.685,alive,airbag,belted,1,f,16,1998,1998,deploy,driver,1,0,43:184:2
25-39,1706.45,alive,airbag,belted,1,m,16,1998,1994,deploy,pass,1,1,43:196:1
25-39,47.503,alive,none,belted,0,f,16,1998,1987,unavail,pass,0,3,43:242:1
24-Oct,49.768,alive,none,belted,0,f,16,1998,1989,unavail,driver,0,1,43:270:1
24-Oct,47.503,alive,none,belted,0,f,16,1998,1989,unavail,driver,0,3,43:281:2
24-Oct,47.503,alive,none,belted,0,f,16,1998,1989,unavail,pass,0,1,43:281:2
24-Oct,536.825,alive,airbag,belted,0,f,16,1998,1997,deploy,driver,1,2,43:282:1
24-Oct,536.825,alive,none,belted,1,m,16,1998,1990,unavail,driver,0,1,43:282:2
25-39,49.768,alive,none,belted,1,m,16,1998,1989,unavail,driver,0,0,43:286:2
25-39,49.768,alive,none,belted,1,m,16,1998,1989,unavail,pass,0,0,43:286:2
24-Oct,5300.269,alive,none,belted,1,f,16,1998,1992,unavail,driver,0,0,43:296:1
25-39,49.768,alive,airbag,belted,0,m,16,1998,1995,nodeploy,driver,0,3,43:307:1
24-Oct,47.503,alive,airbag,none,0,m,16,1998,1992,deploy,driver,1,3,43:308:1
25-39,0,alive,airbag,belted,1,m,16,1998,1998,deploy,driver,1,0,43:801:1
24-Oct,0,alive,airbag,belted,1,f,16,1998,1998,deploy,driver,1,0,43:810:1
25-39,15209.861,alive,none,belted,0,m,16,1998,1991,unavail,driver,0,0,45:04:02
55+,62.167,alive,none,belted,1,m,16,1998,1990,unavail,driver,0,3,45:43:01
24-Oct,49.778,alive,none,belted,1,m,16,1998,1990,unavail,pass,0,1,45:58:02
24-Oct,613.262,alive,none,belted,0,f,16,1998,1990,unavail,driver,0,1,45:62:2
24-Oct,613.262,alive,none,belted,0,f,16,1998,1990,unavail,pass,0,3,45:62:2
24-Oct,163.437,alive,none,belted,1,m,16,1998,1992,unavail,driver,0,2,45:123:2
24-Oct,7567.992,alive,airbag,belted,1,m,16,1998,1998,nodeploy,driver,0,0,45:161:1
24-Oct,7567.992,alive,airbag,belted,1,f,16,1998,1998,nodeploy,pass,0,0,45:161:1
40-54,1179.819,alive,none,belted,0,f,16,1998,1989,unavail,driver,0,3,48:08:02
40-54,1179.819,alive,none,belted,0,f,16,1998,1989,unavail,pass,0,3,48:08:02
25-39,5092.96,alive,none,belted,0,f,16,1998,1987,unavail,pass,0,3,48:56:02
25-39,885.568,alive,airbag,belted,0,f,16,1998,1997,nodeploy,pass,0,3,48:73:2
24-Oct,777.506,alive,none,none,1,m,16,1998,1985,unavail,driver,0,0,48:128:1
24-Oct,57871.595,alive,airbag,belted,1,f,16,1998,1998,nodeploy,driver,0,0,48:139:1
24-Oct,57871.595,alive,airbag,belted,1,m,16,1998,1998,nodeploy,pass,0,0,48:139:1
40-54,398.51,alive,airbag,none,1,m,16,1998,1995,deploy,driver,1,0,48:146:2
40-54,398.51,alive,airbag,none,1,m,16,1998,1995,deploy,pass,1,0,48:146:2
25-39,963.3,alive,airbag,belted,1,m,16,1998,1998,deploy,driver,1,0,49:165:1
40-54,6.009,alive,none,belted,0,m,16,1998,1993,unavail,driver,0,3,49:179:1
25-39,12.809,alive,airbag,none,1,m,16,1998,1990,deploy,driver,1,2,72:36:01
25-39,13.936,alive,none,none,0,f,16,1998,1986,unavail,driver,0,0,72:53:01
1-9km/h,89.755,alive,airbag,belted,0,f,16,1998,1996,nodeploy,driver,0,1,72:159:2
25-39,24.166,alive,none,belted,1,m,16,1998,1985,unavail,driver,0,1,73:21:01
25-39,24.166,alive,none,belted,1,f,16,1998,1985,unavail,pass,0,3,73:21:01
25-39,21.316,alive,airbag,none,0,m,16,1998,1995,nodeploy,driver,0,3,73:32:01
25-39,21.316,alive,airbag,none,0,f,16,1998,1995,nodeploy,pass,0,3,73:32:01
1-9km/h,4951.411,alive,none,belted,0,f,16,1998,1990,unavail,driver,0,0,73:65:1
40-54,31.627,alive,airbag,none,1,f,16,1998,1992,deploy,driver,1,3,73:94:2
24-Oct,1075.555,alive,none,none,0,m,16,1998,1988,unavail,driver,0,1,73:134:2
24-Oct,1075.555,alive,none,none,0,m,16,1998,1988,unavail,pass,0,0,73:134:2
24-Oct,146.311,alive,none,belted,1,f,16,1998,1989,unavail,driver,0,0,73:145:1
40-54,12.872,alive,none,none,1,m,16,1998,1989,unavail,driver,0,3,74:13:01
55+,12.193,dead,none,none,0,m,16,1998,1990,unavail,pass,0,4,74:16:02
24-Oct,14.005,alive,none,belted,0,f,16,1998,1980,unavail,driver,0,1,74:43:01
25-39,14.005,alive,none,belted,1,m,16,1998,1990,unavail,driver,0,0,74:47:01
25-39,14.005,alive,none,belted,1,f,16,1998,1990,unavail,pass,0,1,74:47:01
25-39,12.872,alive,none,none,0,m,16,1998,1985,unavail,driver,0,3,74:48:01
25-39,12.872,alive,none,none,1,f,16,1998,1987,unavail,driver,0,3,74:72:1
25-39,23.878,alive,airbag,belted,1,f,16,1998,1991,deploy,driver,1,0,74:80:1
25-39,11.932,alive,none,belted,1,f,16,1998,1993,unavail,driver,0,2,74:124:1
25-39,14.005,alive,none,none,1,m,16,1998,1989,unavail,driver,0,0,74:129:1
25-39,14.005,alive,none,belted,1,m,16,1998,1989,unavail,pass,0,0,74:129:1
40-54,14.271,alive,none,belted,0,m,16,1998,1986,unavail,driver,0,0,74:139:2
24-Oct,88.266,alive,airbag,belted,0,m,16,1998,1992,nodeploy,pass,0,0,75:12:02
24-Oct,400.229,alive,airbag,belted,0,f,16,1998,1995,deploy,driver,1,2,75:24:01
24-Oct,400.229,alive,none,belted,1,f,16,1998,1992,unavail,driver,0,0,75:24:02
25-39,407.896,alive,none,none,0,m,16,1998,1991,unavail,driver,0,1,75:43:01
24-Oct,76.56,alive,none,belted,1,f,16,1998,1985,unavail,driver,0,3,75:68:1
24-Oct,297.78,alive,airbag,belted,1,m,16,1998,1998,deploy,driver,1,3,75:70:1
24-Oct,297.78,alive,airbag,belted,1,m,16,1998,1998,deploy,pass,1,0,75:70:1
25-39,46.641,alive,airbag,belted,0,f,16,1998,1994,nodeploy,driver,0,3,75:88:1
24-Oct,470.314,alive,airbag,belted,1,f,16,1998,1996,nodeploy,driver,0,2,75:89:1
24-Oct,40.07,alive,airbag,belted,1,f,16,1998,1998,deploy,driver,1,3,75:117:2
24-Oct,302.564,alive,airbag,belted,0,f,16,1998,1997,nodeploy,driver,0,0,75:175:1
25-39,46.641,alive,none,belted,0,f,16,1998,1987,unavail,pass,0,2,75:199:1
24-Oct,2400.834,alive,none,belted,1,m,16,1998,1983,unavail,driver,0,0,75:203:1
24-Oct,2400.834,alive,none,belted,1,m,16,1998,1983,unavail,pass,0,NA,75:203:1
25-39,46.72,alive,none,belted,1,m,16,1998,1992,unavail,driver,0,0,75:205:2
25-39,46.72,alive,none,none,1,m,16,1998,1992,unavail,pass,0,0,75:205:2
25-39,71.1,alive,none,belted,0,m,16,1998,1985,unavail,driver,0,1,75:231:1
25-39,71.1,alive,none,none,0,m,16,1998,1985,unavail,pass,0,3,75:231:1
25-39,217.338,alive,none,belted,1,m,16,1998,1985,unavail,driver,0,3,76:05:02
24-Oct,135.836,alive,none,belted,1,f,16,1998,1989,unavail,driver,0,2,76:18:02
25-39,143.534,alive,airbag,belted,1,m,16,1998,1996,deploy,driver,1,3,76:90:2
24-Oct,119.739,alive,airbag,belted,1,f,16,1998,1998,nodeploy,pass,0,0,76:102:2
25-39,64.856,alive,airbag,belted,1,f,16,1998,1993,deploy,driver,1,1,78:08:02
24-Oct,181.912,alive,airbag,belted,0,f,16,1998,1996,deploy,driver,1,2,78:122:1
40-54,237.431,alive,airbag,none,1,m,16,1998,1995,deploy,pass,1,0,78:146:1
40-54,3.015,dead,none,belted,0,m,16,1998,1981,unavail,driver,0,4,79:07:01
24-Oct,92.447,alive,airbag,belted,1,f,16,1998,1995,deploy,pass,1,0,79:26:01
55+,3.015,alive,none,belted,0,m,16,1998,1988,unavail,driver,0,3,79:28:01
55+,3.015,dead,none,belted,0,m,16,1998,1988,unavail,pass,0,4,79:28:01
24-Oct,7.712,alive,airbag,belted,1,m,16,1998,1991,deploy,driver,1,0,79:193:1
24-Oct,28.103,alive,airbag,belted,1,m,16,1998,1995,deploy,driver,1,3,81:22:01
25-39,28.103,alive,none,none,1,f,16,1998,1984,unavail,pass,0,3,81:22:02
24-Oct,7.693,alive,none,belted,1,m,16,1998,1990,unavail,driver,0,2,82:22:01
24-Oct,462.392,alive,none,none,0,m,16,1999,1992,unavail,driver,0,0,2:33:01
25-39,558.77,alive,none,belted,0,f,16,1999,1990,unavail,driver,0,1,0.133356481
24-Oct,126.254,alive,none,belted,1,f,16,1999,1991,unavail,pass,0,0,0.166712963
24-Oct,189.697,alive,none,belted,1,m,16,1999,1990,unavail,driver,0,0,0.194479167
24-Oct,192.593,alive,none,belted,1,f,16,1999,1989,unavail,pass,0,0,0.232650463
25-39,4408.767,alive,none,belted,1,f,16,1999,1984,unavail,driver,0,0,5:54:01
25-39,4408.767,alive,none,belted,1,f,16,1999,1984,unavail,pass,0,0,5:54:01
24-Oct,267.531,alive,airbag,belted,1,f,16,1999,1997,deploy,driver,1,1,5:55:01
